wall_time,elapsed_s,F1_N,F2_N
2026-07-21T16:17:32.922,0.1573,-0.0619,-0.0912
2026-07-21T16:17:32.937,0.1669,-0.101,-0.0912
2026-07-21T16:17:32.937,0.1669,-0.0619,-0.0129
2026-07-21T16:17:32.942,0.173,-0.0227,-0.15
2026-07-21T16:17:32.958,0.1809,-0.101,-0.2479
2026-07-21T16:17:32.958,0.201,-0.1794,-0.2283
2026-07-21T16:17:32.974,0.2151,-0.2577,-0.3066
2026-07-21T16:17:32.989,0.2353,-0.3164,-0.2479
2026-07-21T16:17:32.989,0.2491,-0.1402,-0.0912
2026-07-21T16:17:33.005,0.2552,-0.3164,0.3004
2026-07-21T16:17:33.021,0.2814,-0.2577,0.8878
2026-07-21T16:17:33.029,0.2955,-0.101,1.6906
2026-07-21T16:17:33.037,0.3229,0.3102,2.6305
2026-07-21T16:17:33.037,0.3331,0.9367,3.6683
2026-07-21T16:17:33.052,0.3625,1.7004,5.3522
2026-07-21T16:17:33.068,0.3683,2.7382,7.9369
2026-07-21T16:17:33.084,0.4124,3.5606,11.0502
2026-07-21T16:17:33.099,0.4124,3.9913,14.2027
2026-07-21T16:17:33.099,0.4124,4.3242,17.0223
2026-07-21T16:17:33.115,0.4279,4.52,19.8028
2026-07-21T16:17:33.123,0.4279,4.9312,22.7399
2026-07-21T16:17:33.131,0.4477,5.4207,25.6379
2026-07-21T16:17:33.143,0.4477,5.9886,28.6925
2026-07-21T16:17:33.154,0.4597,6.4781,31.9233
2026-07-21T16:17:33.157,0.4597,6.9872,35.2129
2026-07-21T16:17:33.191,0.4777,7.7508,38.757
2026-07-21T16:17:33.191,0.4777,8.4949,42.4382
2026-07-21T16:17:33.191,0.4777,9.239,46.2368
2026-07-21T16:17:33.218,0.4822,10.3159,49.9572
2026-07-21T16:17:33.227,0.4822,11.1971,53.1684
2026-07-21T16:17:33.238,0.4957,11.9803,56.2426
2026-07-21T16:17:33.259,0.4957,12.8418,59.1601
2026-07-21T16:17:33.259,0.4957,13.6055,61.921
2026-07-21T16:17:33.259,0.4957,14.1342,64.584
2026-07-21T16:17:33.265,0.4957,14.5062,66.9533
2026-07-21T16:17:33.310,0.5091,14.9566,68.9897
