wall_time,elapsed_s,F1_N,F2_N
2026-07-21T16:03:44.658,0.1184,0.6011,0.3364
2026-07-21T16:03:44.688,0.153,0.4445,0.2385
2026-07-21T16:03:44.688,0.155,0.2095,0.5909
2026-07-21T16:03:44.690,0.157,0.6011,0.4343
2026-07-21T16:03:44.694,0.158,0.562,0.5518
2026-07-21T16:03:44.709,0.1703,0.4836,0.5714
2026-07-21T16:03:44.720,0.1741,0.2487,0.4343
2026-07-21T16:03:44.727,0.19,0.5228,0.5322
2026-07-21T16:03:44.739,0.2061,0.5424,0.5518
2026-07-21T16:03:44.747,0.2221,0.4053,0.1602
2026-07-21T16:03:44.760,0.2372,0.2291,0.5322
2026-07-21T16:03:44.763,0.2459,0.5228,0.4539
2026-07-21T16:03:44.780,0.2589,0.5228,0.5714
2026-07-21T16:03:44.788,0.2687,0.5815,0.5126
2026-07-21T16:03:44.788,0.2791,0.2878,0.3756
2026-07-21T16:03:44.804,0.2859,0.4445,0.5909
2026-07-21T16:03:44.821,0.3192,0.5228,0.8651
2026-07-21T16:03:44.822,0.3248,0.5424,0.6105
2026-07-21T16:03:44.841,0.3268,0.3662,0.5518
2026-07-21T16:03:44.851,0.3343,0.3466,0.6889
2026-07-21T16:03:44.868,0.3383,0.6795,0.5909
2026-07-21T16:03:44.868,0.3383,0.5228,0.3364
2026-07-21T16:03:44.884,0.3403,0.327,0.2972
2026-07-21T16:03:44.884,0.3423,0.2683,0.7084
2026-07-21T16:03:44.916,0.3443,0.8948,0.5126
2026-07-21T16:03:44.916,0.3464,0.5228,0.3756
2026-07-21T16:03:44.927,0.3494,0.3857,0.2189
2026-07-21T16:03:44.929,0.3494,0.1899,0.6889
2026-07-21T16:03:44.946,0.3534,0.7382,0.5322
2026-07-21T16:03:44.950,0.3554,0.6403,0.4343
2026-07-21T16:03:44.961,0.3594,0.4836,0.2385
2026-07-21T16:03:44.973,0.3632,0.2291,0.5909
2026-07-21T16:03:44.979,0.3632,0.6403,0.5126
2026-07-21T16:03:45.013,0.3951,0.5815,0.4539
2026-07-21T16:03:45.013,0.3951,0.5228,0.1602
2026-07-21T16:03:45.013,0.4036,0.2878,0.7084
2026-07-21T16:03:45.020,0.4056,0.6599,0.728
2026-07-21T16:03:45.032,0.4111,0.4053,0.7868
2026-07-21T16:03:45.038,0.4151,0.4836,0.2189
2026-07-21T16:03:45.053,0.4197,0.1899,0.5126
2026-07-21T16:03:45.057,0.4268,0.6403,0.6497
2026-07-21T16:03:45.069,0.4587,0.6795,0.5909
