wall_time,elapsed_s,F1_N,F2_N
2026-07-21T15:40:44.042,0.1041,0.3062,1.9861
2026-07-21T15:40:44.042,0.1041,0.365,2.084
2026-07-21T15:40:44.054,0.1041,0.4041,2.1427
2026-07-21T15:40:44.058,0.1196,0.4041,2.2602
2026-07-21T15:40:44.074,0.1347,0.4433,2.4364
2026-07-21T15:40:44.080,0.1465,0.4825,2.6714
2026-07-21T15:40:44.090,0.166,0.5021,3.0043
2026-07-21T15:40:44.090,0.1779,0.6,3.298
2026-07-21T15:40:44.106,0.1958,0.737,3.7092
2026-07-21T15:40:44.121,0.1958,0.9328,4.277
2026-07-21T15:40:44.145,0.2523,1.0307,4.7861
2026-07-21T15:40:44.153,0.2523,1.1482,5.1386
2026-07-21T15:40:44.156,0.2523,1.4223,5.726
2026-07-21T15:40:44.158,0.2643,1.6377,6.3526
2026-07-21T15:40:44.173,0.2643,1.8531,7.0575
2026-07-21T15:40:44.188,0.2742,2.2056,8.1736
2026-07-21T15:40:44.200,0.2742,2.558,9.4268
2026-07-21T15:40:44.200,0.2892,2.9692,10.9149
2026-07-21T15:40:44.220,0.2972,3.5566,12.5401
2026-07-21T15:40:44.237,0.3072,4.1441,14.1849
2026-07-21T15:40:44.237,0.3124,4.8686,15.7905
2026-07-21T15:40:44.249,0.3124,5.5147,17.2395
2026-07-21T15:40:44.249,0.3124,6.1609,18.5906
2026-07-21T15:40:44.267,0.321,6.7679,20.0983
2026-07-21T15:40:44.276,0.3371,7.2183,21.8018
2026-07-21T15:40:44.281,0.3527,7.8448,23.8382
2026-07-21T15:40:44.295,0.3527,8.5302,25.9921
2026-07-21T15:40:44.306,0.3725,9.2938,28.2635
2026-07-21T15:40:44.318,0.3768,10.0379,30.6915
2026-07-21T15:40:44.328,0.3768,10.8407,33.374
2026-07-21T15:40:44.328,0.3845,11.6239,36.1545
2026-07-21T15:40:44.351,0.3845,12.368,38.7392
2026-07-21T15:40:44.361,0.3845,12.8771,40.6189
2026-07-21T15:40:44.366,0.3845,13.4058,42.1266
2026-07-21T15:40:44.375,0.3966,13.8953,43.4581
2026-07-21T15:40:44.391,0.4003,14.3456,44.7309
2026-07-21T15:40:44.393,0.4003,14.6394,46.1015
2026-07-21T15:40:44.406,0.4204,14.8743,47.5113
2026-07-21T15:40:44.406,0.4204,14.9331,48.5295
2026-07-21T15:40:44.426,0.4274,13.8757,49.6261
2026-07-21T15:40:44.438,0.4316,12.4463,50.6443
2026-07-21T15:40:44.438,0.4316,12.6225,51.2904
2026-07-21T15:40:44.454,0.4316,12.8771,51.8974
2026-07-21T15:40:44.470,0.448,13.0729,52.3674
2026-07-21T15:40:44.474,0.4644,13.347,52.8961
2026-07-21T15:40:44.485,0.4719,13.5624,53.4639
2026-07-21T15:40:44.485,0.4947,13.7191,53.973
2026-07-21T15:40:44.502,0.4947,13.8561,54.3254
2026-07-21T15:40:44.502,0.5053,13.9932,54.6192
2026-07-21T15:40:44.526,0.5104,14.3261,54.7954
2026-07-21T15:40:44.534,0.5276,14.4827,54.9325
2026-07-21T15:40:44.548,0.5276,14.6785,54.8737
2026-07-21T15:40:44.548,0.5418,14.9135,54.7954
2026-07-21T15:40:44.564,0.5418,15.0897,54.815
2026-07-21T15:40:44.574,0.5575,15.2855,54.9325
2026-07-21T15:40:44.581,0.5575,15.5988,55.0304
2026-07-21T15:40:44.595,0.5732,15.8338,55.1478
2026-07-21T15:40:44.595,0.596,16.1471,55.2849
2026-07-21T15:40:44.611,0.596,16.48,55.5003
2026-07-21T15:40:44.611,0.6046,16.9695,55.7548
2026-07-21T15:40:44.637,0.6277,17.459,56.0486
2026-07-21T15:40:44.642,0.6277,17.8702,56.5381
2026-07-21T15:40:44.658,0.6277,18.066,56.8709
2026-07-21T15:40:44.658,0.656,18.3793,57.38
2026-07-21T15:40:44.675,0.656,18.5555,57.5563
2026-07-21T15:40:44.681,0.656,18.6338,57.7912
2026-07-21T15:40:44.690,0.6838,18.7905,58.0066
2026-07-21T15:40:44.706,0.6838,18.9863,58.2612
2026-07-21T15:40:44.710,0.6838,19.1625,58.5157
2026-07-21T15:40:44.721,0.7096,19.1625,58.692
2026-07-21T15:40:44.737,0.7135,19.1625,58.7311
2026-07-21T15:40:44.737,0.7309,19.1625,58.829
2026-07-21T15:40:44.753,0.7309,19.1625,58.8878
2026-07-21T15:40:44.763,0.7309,19.2408,58.9857
2026-07-21T15:40:44.775,0.7622,19.3975,59.1423
2026-07-21T15:40:44.784,0.7622,19.5541,59.1815
2026-07-21T15:40:44.784,0.7745,19.6912,59.2011
2026-07-21T15:40:44.800,0.7947,19.9066,59.299
2026-07-21T15:40:44.816,0.7947,20.0436,59.3381
2026-07-21T15:40:44.816,0.7947,20.2786,59.4752
2026-07-21T15:40:44.839,0.8257,20.5332,59.6906
2026-07-21T15:40:44.839,0.8257,20.7094,59.9647
2026-07-21T15:40:44.848,0.8277,20.8269,60.1997
2026-07-21T15:40:44.864,0.8515,20.9052,60.4346
2026-07-21T15:40:44.875,0.8535,21.0423,60.7088
2026-07-21T15:40:44.881,0.8729,21.1793,61.0025
2026-07-21T15:40:44.895,0.8729,21.336,61.4137
2026-07-21T15:40:44.907,0.8729,21.5514,61.6682
2026-07-21T15:40:44.911,0.9043,21.6884,61.9228
2026-07-21T15:40:44.926,0.9102,21.8647,62.1773
2026-07-21T15:40:44.926,0.9102,22.08,62.471
2026-07-21T15:40:44.943,0.9277,22.3542,62.5885
2026-07-21T15:40:44.958,0.9377,22.5304,62.7452
2026-07-21T15:40:44.964,0.9377,22.7262,62.941
2026-07-21T15:40:44.978,0.9617,22.8045,63.2151
2026-07-21T15:40:44.981,0.9617,22.9808,63.313
2026-07-21T15:40:44.991,0.9673,22.9416,63.548
2026-07-21T15:40:45.006,0.983,23.0591,63.548
2026-07-21T15:40:45.015,0.983,23.1374,63.6263
2026-07-21T15:40:45.021,1.0144,23.2157,63.6655
2026-07-21T15:40:45.037,1.0144,23.3528,63.783
2026-07-21T15:40:45.037,1.0223,23.4703,63.8417
2026-07-21T15:40:45.052,1.0304,23.6857,63.9592
2026-07-21T15:40:45.068,1.0472,23.8815,64.0375
2026-07-21T15:40:45.076,1.0472,23.999,64.2137
2026-07-21T15:40:45.084,1.0758,24.0577,64.3116
2026-07-21T15:40:45.084,1.0758,24.1752,64.4683
2026-07-21T15:40:45.101,1.0781,24.3514,64.5466
2026-07-21T15:40:45.116,1.0938,24.4493,64.7816
2026-07-21T15:40:45.116,1.0938,24.5081,64.9382
2026-07-21T15:40:45.132,1.0938,24.606,65.0557
2026-07-21T15:40:45.147,1.1277,24.5472,65.2124
2026-07-21T15:40:45.147,1.1329,24.4689,65.1928
2026-07-21T15:40:45.176,1.1571,24.5472,65.1536
2026-07-21T15:40:45.176,1.1571,24.3514,65.0557
2026-07-21T15:40:45.190,1.1571,24.4885,65.0165
2026-07-21T15:40:45.197,1.1768,24.6647,65.0361
2026-07-21T15:40:45.197,1.1768,24.7626,65.0753
2026-07-21T15:40:45.211,1.1768,24.8605,64.9774
2026-07-21T15:40:45.228,1.2043,24.8997,64.8991
2026-07-21T15:40:45.230,1.2043,24.978,64.8795
2026-07-21T15:40:45.242,1.2279,24.8018,64.9774
2026-07-21T15:40:45.256,1.2279,24.7626,64.8795
2026-07-21T15:40:45.258,1.2517,24.5864,64.8012
2026-07-21T15:40:45.277,1.2517,24.4689,64.6837
2026-07-21T15:40:45.281,1.2579,24.3906,64.6837
2026-07-21T15:40:45.290,1.2676,24.3123,64.6053
2026-07-21T15:40:45.290,1.2676,24.3318,64.5858
2026-07-21T15:40:45.312,1.2956,24.2535,64.3508
2026-07-21T15:40:45.321,1.2991,24.2927,64.0571
2026-07-21T15:40:45.337,1.3219,24.2731,63.8221
2026-07-21T15:40:45.337,1.3219,24.2731,63.783
2026-07-21T15:40:45.354,1.3234,24.5081,63.8221
2026-07-21T15:40:45.371,1.3366,24.4102,63.7438
2026-07-21T15:40:45.377,1.3482,24.4493,63.6655
2026-07-21T15:40:45.390,1.362,24.4885,63.5676
2026-07-21T15:40:45.390,1.362,24.4493,63.4109
2026-07-21T15:40:45.402,1.3779,24.4102,63.3326
2026-07-21T15:40:45.416,1.3933,24.3906,63.3522
2026-07-21T15:40:45.416,1.3933,24.4689,63.4501
2026-07-21T15:40:45.432,1.4089,24.5081,63.5088
2026-07-21T15:40:45.447,1.4179,24.5864,63.4892
2026-07-21T15:40:45.463,1.4305,24.7039,63.4892
2026-07-21T15:40:45.463,1.4409,24.7039,63.313
2026-07-21T15:40:45.479,1.4566,24.6843,63.2347
2026-07-21T15:40:45.484,1.4566,24.7039,63.176
2026-07-21T15:40:45.495,1.4566,24.743,63.1564
2026-07-21T15:40:45.510,1.4738,24.8214,63.2151
2026-07-21T15:40:45.510,1.4892,24.8801,63.1172
2026-07-21T15:40:45.527,1.5048,24.978,63.0389
2026-07-21T15:40:45.527,1.5048,25.0759,63.0193
2026-07-21T15:40:45.543,1.5048,25.1151,63.0585
2026-07-21T15:40:45.558,1.5358,25.0759,62.9997
2026-07-21T15:40:45.558,1.5358,25.1151,63.078
2026-07-21T15:40:45.578,1.5607,25.1542,63.1564
2026-07-21T15:40:45.582,1.5607,25.2326,63.2151
2026-07-21T15:40:45.589,1.5681,25.2913,63.2151
2026-07-21T15:40:45.605,1.5831,25.4088,63.1172
2026-07-21T15:40:45.614,1.5831,25.3892,62.9997
2026-07-21T15:40:45.622,1.5989,25.2521,62.8235
2026-07-21T15:40:45.637,1.5989,25.2717,62.7648
2026-07-21T15:40:45.637,1.5989,25.2913,62.7843
2026-07-21T15:40:45.652,1.6325,25.3892,62.7648
2026-07-21T15:40:45.652,1.6372,25.5067,62.7648
2026-07-21T15:40:45.682,1.6558,25.4479,62.6081
2026-07-21T15:40:45.686,1.6558,25.3305,62.5689
2026-07-21T15:40:45.691,1.6776,25.2521,62.4319
2026-07-21T15:40:45.701,1.6776,25.213,61.8445
2026-07-21T15:40:45.716,1.6934,25.3305,61.7074
2026-07-21T15:40:45.731,1.6934,25.4088,61.727
2026-07-21T15:40:45.731,1.6934,25.5263,61.7661
2026-07-21T15:40:45.747,1.7283,25.6437,61.7661
2026-07-21T15:40:45.747,1.7283,25.82,61.7074
2026-07-21T15:40:45.770,1.7405,25.8983,61.5703
2026-07-21T15:40:45.778,1.7405,25.8983,61.5116
2026-07-21T15:40:45.787,1.7566,25.8591,61.4528
2026-07-21T15:40:45.794,1.7797,25.82,61.5507
2026-07-21T15:40:45.794,1.7797,25.8787,61.5899
2026-07-21T15:40:45.810,1.8033,25.8787,61.6682
2026-07-21T15:40:45.826,1.8033,25.9375,61.6682
2026-07-21T15:40:45.833,1.8108,25.8591,61.6878
2026-07-21T15:40:45.843,1.8285,25.8983,61.5703
2026-07-21T15:40:45.857,1.8285,25.9375,61.4528
2026-07-21T15:40:45.864,1.8353,26.0354,61.4333
2026-07-21T15:40:45.879,1.8505,26.1137,61.5899
2026-07-21T15:40:45.889,1.8505,26.1724,61.492
2026-07-21T15:40:45.899,1.8662,26.1724,61.6095
2026-07-21T15:40:45.904,1.8662,26.2899,61.5703
2026-07-21T15:40:45.920,1.8976,26.427,61.6095
2026-07-21T15:40:45.920,1.8976,26.6032,61.6878
2026-07-21T15:40:45.936,1.8976,26.6815,61.7857
2026-07-21T15:40:45.951,1.9257,26.7011,61.7857
2026-07-21T15:40:45.951,1.9291,26.8382,61.864
2026-07-21T15:40:45.967,1.9518,27.1906,62.1578
2026-07-21T15:40:45.971,1.9518,27.4452,62.3927
2026-07-21T15:40:45.985,1.9586,27.6997,62.5689
2026-07-21T15:40:45.998,1.9776,27.7389,62.6669
2026-07-21T15:40:46.005,1.9776,27.7585,62.7256
2026-07-21T15:40:46.014,1.9935,27.9151,62.9214
2026-07-21T15:40:46.022,1.9935,28.1305,63.078
2026-07-21T15:40:46.031,2.0072,28.2676,63.3326
2026-07-21T15:40:46.047,2.0291,28.4046,63.4109
2026-07-21T15:40:46.047,2.0334,28.5613,63.5676
2026-07-21T15:40:46.061,2.0555,28.8942,63.8025
2026-07-21T15:40:46.080,2.056,29.3445,64.0179
2026-07-21T15:40:46.087,2.056,29.697,64.2333
2026-07-21T15:40:46.097,2.0704,29.7949,64.3704
2026-07-21T15:40:46.108,2.0834,30.069,64.6445
2026-07-21T15:40:46.110,2.0862,30.3431,64.8991
2026-07-21T15:40:46.124,2.1019,30.5781,65.1928
2026-07-21T15:40:46.140,2.1105,30.6368,65.5256
2026-07-21T15:40:46.140,2.1291,30.7152,65.7019
2026-07-21T15:40:46.155,2.1291,30.9501,65.8977
2026-07-21T15:40:46.164,2.1501,31.2243,66.1326
2026-07-21T15:40:46.180,2.1501,31.5963,66.348
2026-07-21T15:40:46.188,2.1596,32.0662,66.6417
2026-07-21T15:40:46.188,2.1805,32.5753,67.1117
2026-07-21T15:40:46.204,2.1805,32.869,67.6208
2026-07-21T15:40:46.218,2.2084,33.2019,68.0711
2026-07-21T15:40:46.223,2.2084,33.3781,68.3844
2026-07-21T15:40:46.234,2.2119,33.5348,68.6977
2026-07-21T15:40:46.250,2.2364,33.6914,69.0502
2026-07-21T15:40:46.260,2.2364,33.6719,69.2851
2026-07-21T15:40:46.266,2.2439,33.6327,69.4026
2026-07-21T15:40:46.266,2.2595,33.5544,69.618
2026-07-21T15:40:46.290,2.2675,33.4956,69.7355
2026-07-21T15:40:46.297,2.2675,33.5348,69.7159
2026-07-21T15:40:46.313,2.2905,33.6523,69.6963
2026-07-21T15:40:46.313,2.2905,33.7698,69.7551
2026-07-21T15:40:46.329,2.3066,33.7502,69.7747
2026-07-21T15:40:46.331,2.3066,33.6914,69.8726
2026-07-21T15:40:46.344,2.3223,33.6914,70.1075
2026-07-21T15:40:46.360,2.3381,33.6914,70.2838
2026-07-21T15:40:46.360,2.3381,33.6719,70.46
2026-07-21T15:40:46.383,2.3636,33.4565,70.5579
2026-07-21T15:40:46.383,2.3636,33.4956,70.5187
2026-07-21T15:40:46.397,2.3636,33.4956,70.4796
2026-07-21T15:40:46.397,2.3898,33.5348,70.3229
2026-07-21T15:40:46.417,2.3898,33.4565,70.1271
2026-07-21T15:40:46.424,2.4023,33.4369,70.1271
2026-07-21T15:40:46.439,2.4177,33.5348,70.1271
2026-07-21T15:40:46.443,2.4199,33.5152,70.1663
2026-07-21T15:40:46.456,2.4409,33.4956,70.1271
2026-07-21T15:40:46.456,2.4409,33.4369,70.0292
2026-07-21T15:40:46.474,2.4409,33.2998,69.8334
2026-07-21T15:40:46.486,2.4661,33.2215,69.7747
2026-07-21T15:40:46.494,2.4661,33.0257,69.7159
2026-07-21T15:40:46.506,2.4799,33.0061,69.7355
2026-07-21T15:40:46.520,2.4934,32.9474,69.7747
2026-07-21T15:40:46.524,2.4956,32.967,69.8334
2026-07-21T15:40:46.533,2.5123,32.9474,69.8726
2026-07-21T15:40:46.547,2.5123,32.9082,69.853
2026-07-21T15:40:46.556,2.5354,32.9278,69.8922
2026-07-21T15:40:46.566,2.5354,32.8495,69.8334
2026-07-21T15:40:46.566,2.559,32.7907,69.8334
2026-07-21T15:40:46.583,2.559,32.7711,69.7551
2026-07-21T15:40:46.597,2.5833,32.7907,69.853
2026-07-21T15:40:46.597,2.5833,32.9865,69.9509
2026-07-21T15:40:46.618,2.5906,33.0649,70.1663
2026-07-21T15:40:46.628,2.6084,33.2215,70.2446
2026-07-21T15:40:46.628,2.6084,33.1628,70.1271
2026-07-21T15:40:46.644,2.6292,33.2411,69.9705
2026-07-21T15:40:46.653,2.6384,33.3586,69.8138
2026-07-21T15:40:46.670,2.6384,33.3781,69.7551
