trial_id,axis,sign,direction_label,attempt_idx,n_eskin_frames,feature_sum,feature_peak
YL_negative_x_001_20260723_171051,x,-1,negative_x,1,431,30882.647610208816,334.6983758700696
YL_negative_x_001_20260723_171051,x,-1,negative_x,2,634,31228.356498422712,356.5347003154574
YL_negative_x_001_20260723_171051,x,-1,negative_x,3,1258,34890.76098569157,377.8966613672496
YL_negative_x_001_20260723_171051,x,-1,negative_x,4,1259,34514.249483717234,392.17235901509133
YL_negative_x_001_20260723_171051,x,-1,negative_x,5,892,34224.73107623318,419.6580717488789
YL_negative_x_001_20260723_171051,x,-1,negative_x,6,965,33594.72532642487,407.16891191709846
YL_negative_x_001_20260723_171051,x,-1,negative_x,7,675,26641.877925925925,409.3288888888889
YL_negative_x_001_20260723_171051,x,-1,negative_x,8,841,35794.38136741974,407.1688466111772
YL_negative_x_001_20260723_171051,x,-1,negative_x,9,633,35503.64636650869,354.22906793048975
YL_negative_x_001_20260723_171051,x,-1,negative_x,10,703,35630.53867709815,366.40113798008537
YL_negative_x_001_20260723_171051,x,-1,negative_x,11,465,29036.536451612905,383.05806451612904
YL_negative_x_001_20260723_171051,x,-1,negative_x,12,722,38300.87745152354,361.6606648199446
YL_negative_x_001_20260723_171051,x,-1,negative_x,13,647,36205.45664605874,342.21792890262753
YL_negative_x_001_20260723_171051,x,-1,negative_x,14,732,36795.370218579235,349.0382513661202
YL_negative_x_001_20260723_171051,x,-1,negative_x,15,706,37136.464674220966,331.2662889518414
YL_negative_x_001_20260723_171051,x,-1,negative_x,16,597,36039.40845896148,341.2110552763819
YL_negative_x_001_20260723_171051,x,-1,negative_x,17,683,33894.60749633968,346.7393850658858
YL_negative_y_002_20260723_162231,y,-1,negative_y,1,509,38293.25186640472,322.3852455795678
YL_negative_y_002_20260723_162231,y,-1,negative_y,2,658,39959.145000000004,362.54911854103347
YL_negative_y_002_20260723_162231,y,-1,negative_y,3,760,37783.70752631579,370.30526315789473
YL_negative_y_002_20260723_162231,y,-1,negative_y,4,414,37654.10748792271,400.451690821256
YL_negative_y_002_20260723_162231,y,-1,negative_y,5,216,24994.2975462963,389.59722222222223
YL_negative_y_002_20260723_162231,y,-1,negative_y,6,148,22279.24918918919,577.4594594594595
YL_negative_y_002_20260723_162231,y,-1,negative_y,7,132,24194.172575757577,396.049393939394
YL_negative_y_002_20260723_162231,y,-1,negative_y,8,145,26764.48951724138,449.85827586206904
YL_negative_y_002_20260723_162231,y,-1,negative_y,9,426,34748.901009389665,452.5281690140845
YL_negative_y_002_20260723_162231,y,-1,negative_y,10,392,40132.50818877551,402.734693877551
YL_negative_y_002_20260723_162231,y,-1,negative_y,11,553,34951.42065099457,370.1464737793852
YL_negative_y_002_20260723_162231,y,-1,negative_y,12,749,35810.52587449933,379.1441922563418
YL_negative_y_002_20260723_162231,y,-1,negative_y,13,727,37169.2994085282,414.37138927097664
YL_negative_y_002_20260723_162231,y,-1,negative_y,14,580,34545.0744137931,356.2310344827586
YL_negative_y_002_20260723_162231,y,-1,negative_y,15,719,31323.376842837275,385.88734353268427
YL_negative_y_002_20260723_162231,y,-1,negative_y,16,790,36389.62198734177,357.00379746835443
YL_negative_z_001_20260723_162033,z,-1,negative_z,1,669,46885.90910313901,341.18535127055304
YL_negative_z_001_20260723_162033,z,-1,negative_z,2,773,47491.46430789133,309.76584734799485
YL_negative_z_001_20260723_162033,z,-1,negative_z,3,667,48390.45952023988,346.7496251874063
YL_negative_z_001_20260723_162033,z,-1,negative_z,4,800,48318.7251375,318.74587500000007
YL_negative_z_001_20260723_162033,z,-1,negative_z,5,842,45525.234109263656,327.5387767220903
YL_negative_z_001_20260723_162033,z,-1,negative_z,6,794,45925.055062972286,327.44848866498745
YL_negative_z_001_20260723_162033,z,-1,negative_z,7,659,46139.486024279206,318.18291350531115
YL_negative_z_001_20260723_162033,z,-1,negative_z,8,163,8625.773067484663,318.79754601226995
YL_negative_z_001_20260723_162033,z,-1,negative_z,9,669,47919.96185351271,326.4204484304933
YL_negative_z_001_20260723_162033,z,-1,negative_z,10,858,45840.72807692308,317.15617715617714
YL_negative_z_001_20260723_162033,z,-1,negative_z,11,507,43478.15426035503,314.82642998027615
YL_negative_z_001_20260723_162033,z,-1,negative_z,12,492,45227.615243902444,321.5158536585366
YL_negative_z_001_20260723_162033,z,-1,negative_z,13,417,44432.774460431654,335.3142685851319
YL_positive_x_001_20260723_172701,x,1,positive_x,1,487,31330.55229979466,386.13260780287476
YL_positive_x_001_20260723_172701,x,1,positive_x,2,532,28206.654981203006,445.4398496240602
YL_positive_x_001_20260723_172701,x,1,positive_x,3,541,35055.497874306835,386.0861737523105
YL_positive_x_001_20260723_172701,x,1,positive_x,4,509,25833.654047151278,740.9115913555992
YL_positive_x_001_20260723_172701,x,1,positive_x,5,657,29338.83196347032,694.103500761035
YL_positive_x_001_20260723_172701,x,1,positive_x,6,548,32990.4771350365,613.7153284671533
YL_positive_x_001_20260723_172701,x,1,positive_x,7,562,33960.936138790035,453.62455516014234
YL_positive_x_001_20260723_172701,x,1,positive_x,8,562,33095.31471530249,572.9786476868327
YL_positive_x_001_20260723_172701,x,1,positive_x,9,634,35958.37298107255,403.4242902208202
YL_positive_x_001_20260723_172701,x,1,positive_x,10,660,37733.93124242424,499.1819999999999
YL_positive_x_001_20260723_172701,x,1,positive_x,11,571,34184.85767075306,445.4693520140105
YL_positive_x_001_20260723_172701,x,1,positive_x,12,544,35860.07685661765,435.11
YL_positive_x_001_20260723_172701,x,1,positive_x,13,600,36484.6693,458.2796
YL_positive_x_001_20260723_172701,x,1,positive_x,14,379,37329.87453825858,500.9023746701847
YL_positive_y_003_20260723_162436,y,1,positive_y,1,520,34981.65513461539,417.13653846153846
YL_positive_y_003_20260723_162436,y,1,positive_y,2,690,35139.808086956524,500.4413768115941
YL_positive_y_003_20260723_162436,y,1,positive_y,3,791,29095.619835651072,537.0036662452591
YL_positive_y_003_20260723_162436,y,1,positive_y,4,610,27052.365704918033,649.4754098360655
YL_positive_y_003_20260723_162436,y,1,positive_y,5,1023,34128.807096774195,505.52976539589434
YL_positive_y_003_20260723_162436,y,1,positive_y,6,650,30789.24658461539,521.3461538461539
YL_positive_y_003_20260723_162436,y,1,positive_y,7,847,30807.163364817,497.0944510035419
