wall_time,elapsed_s,F1_N,F2_N
2026-07-22T15:31:07.318,0.0952,0.2502,0.0501
2026-07-22T15:31:07.323,0.0952,0.2698,-0.0282
2026-07-22T15:31:07.323,0.1014,0.2894,0.0305
2026-07-22T15:31:07.336,0.1088,0.2111,0.011
2026-07-22T15:31:07.349,0.1211,0.2894,0.011
2026-07-22T15:31:07.353,0.1211,0.2111,0.011
2026-07-22T15:31:07.365,0.137,0.2502,0.011
2026-07-22T15:31:07.365,0.1532,0.2307,0.011
2026-07-22T15:31:07.391,0.1626,0.2894,0.0501
2026-07-22T15:31:07.401,0.1832,0.2307,0.0305
2026-07-22T15:31:07.413,0.1854,0.2894,0.011
2026-07-22T15:31:07.418,0.1874,0.309,-0.0086
2026-07-22T15:31:07.432,0.1913,0.2894,0.011
2026-07-22T15:31:07.444,0.1953,0.1915,0.0305
2026-07-22T15:31:07.444,0.1953,0.2502,-0.0478
2026-07-22T15:31:07.476,0.201,0.1719,-0.0086
2026-07-22T15:31:07.481,0.201,0.1719,0.011
2026-07-22T15:31:07.485,0.201,0.1915,-0.0478
2026-07-22T15:31:07.493,0.2241,0.1523,0.011
2026-07-22T15:31:07.498,0.2261,0.1719,-0.0086
2026-07-22T15:31:07.518,0.2261,0.1915,0.0305
2026-07-22T15:31:07.524,0.2321,0.2111,-0.0478
2026-07-22T15:31:07.530,0.2477,0.2111,0.0305
2026-07-22T15:31:07.540,0.2477,0.1719,-0.0086
2026-07-22T15:31:07.549,0.2477,0.309,-0.0086
2026-07-22T15:31:07.570,0.2767,0.2307,-0.0282
2026-07-22T15:31:07.570,0.2797,0.2111,-0.0086
2026-07-22T15:31:07.570,0.2797,0.2307,0.0501
2026-07-22T15:31:07.592,0.3001,0.2307,-0.0478
2026-07-22T15:31:07.603,0.3001,0.2111,0.0893
2026-07-22T15:31:07.618,0.3239,0.2307,-0.0478
2026-07-22T15:31:07.623,0.3274,0.2698,-0.0478
2026-07-22T15:31:07.640,0.346,0.2894,-0.0086
2026-07-22T15:31:07.640,0.346,0.2698,0.011
2026-07-22T15:31:07.650,0.3506,0.309,0.011
2026-07-22T15:31:07.665,0.3715,0.2307,-0.0086
2026-07-22T15:31:07.669,0.3715,0.2698,0.0501
2026-07-22T15:31:07.685,0.3934,0.2698,-0.0086
2026-07-22T15:31:07.685,0.3934,0.2111,0.0305
2026-07-22T15:31:07.713,0.4057,0.2307,-0.0086
2026-07-22T15:31:07.713,0.4057,0.2111,0.0501
2026-07-22T15:31:07.716,0.4209,0.2502,0.011
2026-07-22T15:31:07.728,0.443,0.2111,0.0305
2026-07-22T15:31:07.728,0.4469,0.1915,-0.0086
2026-07-22T15:31:07.753,0.4682,0.2307,0.011
2026-07-22T15:31:07.759,0.4697,0.2307,-0.0086
2026-07-22T15:31:07.770,0.4735,0.1719,-0.0282
2026-07-22T15:31:07.778,0.4953,0.0936,-0.0869
2026-07-22T15:31:07.793,0.4999,0.074,-0.0869
2026-07-22T15:31:07.796,0.5156,-0.0239,-0.1457
2026-07-22T15:31:07.808,0.5156,-0.161,-0.1261
2026-07-22T15:31:07.823,0.5328,-0.2589,-0.2436
2026-07-22T15:31:07.823,0.5369,-0.298,-0.3023
2026-07-22T15:31:07.838,0.5569,-0.5721,-0.2436
2026-07-22T15:31:07.838,0.563,-0.6896,-0.0674
2026-07-22T15:31:07.864,0.5788,-0.4155,0.4026
2026-07-22T15:31:07.871,0.5949,0.2111,1.1075
2026-07-22T15:31:07.893,0.6061,1.3663,2.1844
2026-07-22T15:31:07.893,0.6061,3.1286,3.653
2026-07-22T15:31:07.902,0.6327,5.1259,5.5132
2026-07-22T15:31:07.902,0.6387,7.5147,7.3538
2026-07-22T15:31:07.929,0.6422,9.8448,8.9006
2026-07-22T15:31:07.947,0.6703,12.0379,10.3692
2026-07-22T15:31:07.948,0.6703,14.1134,11.7594
2026-07-22T15:31:07.955,0.6733,16.1694,13.0518
2026-07-22T15:31:07.965,0.679,18.4408,14.3441
2026-07-22T15:31:07.975,0.7106,20.9471,15.5973
2026-07-22T15:31:07.980,0.7146,23.4339,16.7917
2026-07-22T15:31:07.993,0.726,26.1947,17.9665
2026-07-22T15:31:08.002,0.735,28.5836,18.8085
2026-07-22T15:31:08.012,0.7589,31.0899,19.6309
2026-07-22T15:31:08.028,0.7589,33.5571,20.4337
2026-07-22T15:31:08.037,0.7589,36.3767,21.0603
2026-07-22T15:31:08.046,0.7746,39.2943,21.726
2026-07-22T15:31:08.057,0.7746,42.0356,22.4114
2026-07-22T15:31:08.064,0.7813,44.6007,22.94
2026-07-22T15:31:08.082,0.805,46.8525,23.3904
2026-07-22T15:31:08.082,0.805,48.7909,23.6449
2026-07-22T15:31:08.093,0.8207,49.9462,23.8603
2026-07-22T15:31:08.104,0.8275,51.0036,23.9582
2026-07-22T15:31:08.112,0.8521,52.2959,24.1149
2026-07-22T15:31:08.128,0.8521,53.647,24.4673
2026-07-22T15:31:08.128,0.8585,55.1155,24.6631
2026-07-22T15:31:08.144,0.8585,56.5253,24.8198
2026-07-22T15:31:08.152,0.8683,57.524,24.9177
2026-07-22T15:31:08.164,0.8881,58.4638,25.0743
2026-07-22T15:31:08.164,0.8935,59.0317,25.2114
2026-07-22T15:31:08.181,0.8973,59.6583,25.466
2026-07-22T15:31:08.191,0.9033,60.2653,25.603
2026-07-22T15:31:08.205,0.9222,60.8919,25.7988
2026-07-22T15:31:08.216,0.9222,61.6947,26.0338
2026-07-22T15:31:08.226,0.9222,62.5954,26.3079
2026-07-22T15:31:08.231,0.9576,63.2024,26.4842
2026-07-22T15:31:08.245,0.9624,63.8681,26.5625
2026-07-22T15:31:08.245,0.9624,64.6318,26.6604
2026-07-22T15:31:08.261,0.9675,65.8458,26.9345
2026-07-22T15:31:08.275,0.9832,66.9031,26.9933
2026-07-22T15:31:08.285,0.9934,67.7255,27.2282
2026-07-22T15:31:08.296,1.0158,68.4696,27.3849
2026-07-22T15:31:08.306,1.0158,69.4682,27.6394
2026-07-22T15:31:08.314,1.0158,70.3102,27.7373
2026-07-22T15:31:08.322,1.0158,70.8585,27.8744
2026-07-22T15:31:08.339,1.0497,70.6822,28.0115
2026-07-22T15:31:08.339,1.0535,69.9577,27.9723
2026-07-22T15:31:08.339,1.0535,69.8011,27.9919
2026-07-22T15:31:08.357,1.0804,70.0165,28.0506
2026-07-22T15:31:08.372,1.0825,70.1927,28.0898
2026-07-22T15:31:08.387,1.1034,70.271,28.2073
2026-07-22T15:31:08.394,1.1055,70.4081,28.3052
2026-07-22T15:31:08.405,1.1055,70.4668,28.4031
2026-07-22T15:31:08.416,1.1298,70.506,28.501
2026-07-22T15:31:08.416,1.1298,70.8193,28.501
2026-07-22T15:31:08.432,1.1371,71.1522,28.5206
2026-07-22T15:31:08.441,1.1579,71.348,28.5597
2026-07-22T15:31:08.453,1.1579,71.0934,28.5597
2026-07-22T15:31:08.460,1.1579,70.9172,28.5793
2026-07-22T15:31:08.479,1.1921,71.0543,28.4814
2026-07-22T15:31:08.481,1.1937,71.5438,28.5597
2026-07-22T15:31:08.495,1.1937,71.8179,28.5597
2026-07-22T15:31:08.500,1.2206,72.0333,28.7164
2026-07-22T15:31:08.516,1.2206,71.8962,28.6772
2026-07-22T15:31:08.516,1.2206,71.9941,28.7359
2026-07-22T15:31:08.527,1.2527,71.7788,28.7947
2026-07-22T15:31:08.543,1.2542,71.5634,28.7751
2026-07-22T15:31:08.543,1.2542,71.2501,28.8143
2026-07-22T15:31:08.560,1.2772,71.2305,28.7751
2026-07-22T15:31:08.575,1.2812,71.2109,28.8534
2026-07-22T15:31:08.587,1.3003,71.1522,28.9122
2026-07-22T15:31:08.595,1.3003,71.2109,28.8926
2026-07-22T15:31:08.604,1.3067,71.2892,28.9905
2026-07-22T15:31:08.616,1.327,71.583,28.9513
2026-07-22T15:31:08.616,1.327,71.9354,28.9709
2026-07-22T15:31:08.629,1.332,72.0137,29.0884
2026-07-22T15:31:08.640,1.3547,71.9746,29.0688
2026-07-22T15:31:08.655,1.358,71.7004,29.1667
2026-07-22T15:31:08.672,1.3815,71.6613,29.1667
