wall_time,elapsed_s,F1_N,F2_N
2026-07-22T15:35:15.555,0.0,18.5283,10.3796
2026-07-22T15:35:15.566,0.0063,18.5283,10.7124
2026-07-22T15:35:15.572,0.0083,18.5675,10.7516
2026-07-22T15:35:15.583,0.0143,18.6262,10.7712
2026-07-22T15:35:15.591,0.0365,18.7045,10.7516
2026-07-22T15:35:15.607,0.0479,18.7241,10.7908
2026-07-22T15:35:15.612,0.0479,18.7045,10.8495
2026-07-22T15:35:15.630,0.0548,18.7241,10.8299
2026-07-22T15:35:15.633,0.0554,18.6849,10.8103
2026-07-22T15:35:15.643,0.0795,18.822,10.8299
2026-07-22T15:35:15.652,0.0824,18.8612,10.8887
2026-07-22T15:35:15.664,0.0824,18.8416,10.8691
2026-07-22T15:35:15.669,0.0932,18.8416,10.8495
2026-07-22T15:35:15.681,0.1092,18.8024,10.9082
2026-07-22T15:35:15.687,0.1241,18.8416,10.8887
2026-07-22T15:35:15.704,0.1298,18.9003,10.8887
2026-07-22T15:35:15.720,0.1321,18.7828,10.9082
2026-07-22T15:35:15.728,0.1554,18.8612,10.9082
2026-07-22T15:35:15.730,0.1554,18.9003,11.0257
2026-07-22T15:35:15.745,0.1554,18.8807,10.967
2026-07-22T15:35:15.753,0.1735,18.8807,11.0061
2026-07-22T15:35:15.760,0.2029,18.9003,10.967
2026-07-22T15:35:15.760,0.2029,18.9199,10.9866
2026-07-22T15:35:15.777,0.2134,18.9003,11.0257
2026-07-22T15:35:15.777,0.2134,18.9003,11.0061
2026-07-22T15:35:15.807,0.2408,18.9787,11.0453
2026-07-22T15:35:15.808,0.2408,18.9199,11.0453
2026-07-22T15:35:15.824,0.2506,19.0374,11.0453
2026-07-22T15:35:15.835,0.2525,19.0374,11.0649
2026-07-22T15:35:15.840,0.2559,19.0178,11.0453
2026-07-22T15:35:15.856,0.2864,18.9199,11.0453
2026-07-22T15:35:15.862,0.2864,18.9199,11.0649
2026-07-22T15:35:15.874,0.3021,18.8807,11.0649
2026-07-22T15:35:15.881,0.3279,18.9199,11.0649
2026-07-22T15:35:15.889,0.3357,18.8612,11.0649
2026-07-22T15:35:15.908,0.3362,18.8024,10.9866
2026-07-22T15:35:15.923,0.346,18.8416,10.967
2026-07-22T15:35:15.923,0.346,18.822,10.967
2026-07-22T15:35:15.938,0.362,18.7633,11.0453
2026-07-22T15:35:15.946,0.3816,18.7828,10.9866
2026-07-22T15:35:15.952,0.3816,18.7828,10.9866
2026-07-22T15:35:15.966,0.3816,18.7437,11.0257
2026-07-22T15:35:15.967,0.3937,18.7241,10.9278
2026-07-22T15:35:15.983,0.4201,18.7045,10.967
2026-07-22T15:35:15.983,0.4231,18.6262,10.9082
2026-07-22T15:35:16.003,0.4261,18.6654,11.0257
2026-07-22T15:35:16.003,0.4304,18.6849,10.8887
2026-07-22T15:35:16.025,0.4595,18.7241,10.967
2026-07-22T15:35:16.037,0.4617,18.7045,10.967
2026-07-22T15:35:16.046,0.4617,18.8024,11.0061
2026-07-22T15:35:16.057,0.4759,18.7241,10.9866
2026-07-22T15:35:16.065,0.5002,18.6849,11.0061
2026-07-22T15:35:16.068,0.5049,18.7045,10.9866
2026-07-22T15:35:16.083,0.5098,18.7437,10.967
2026-07-22T15:35:16.083,0.5098,18.7045,10.9278
2026-07-22T15:35:16.115,0.5293,18.7045,10.967
2026-07-22T15:35:16.115,0.5293,18.7633,10.967
2026-07-22T15:35:16.131,0.547,18.7828,10.9278
2026-07-22T15:35:16.131,0.547,18.7241,10.9474
2026-07-22T15:35:16.146,0.5765,18.7828,10.9866
2026-07-22T15:35:16.151,0.5765,18.7437,10.9474
2026-07-22T15:35:16.168,0.5934,18.6654,10.9866
2026-07-22T15:35:16.178,0.5994,18.7045,10.9866
2026-07-22T15:35:16.184,0.6249,18.7437,10.967
2026-07-22T15:35:16.188,0.6282,18.7437,10.8887
2026-07-22T15:35:16.215,0.6349,18.8024,11.0061
2026-07-22T15:35:16.215,0.6401,18.7633,10.967
