wall_time,elapsed_s,F1_N,F2_N
2026-07-22T17:30:20.539,0.2702,0.0137,-0.0178
2026-07-22T17:30:20.539,0.2722,-0.0059,0.1192
2026-07-22T17:30:20.539,0.2722,0.0724,0.0801
2026-07-22T17:30:20.552,0.2722,-0.0059,0.0605
2026-07-22T17:30:20.560,0.2799,0.0529,0.0801
2026-07-22T17:30:20.571,0.2974,0.0333,0.0605
2026-07-22T17:30:20.571,0.3043,-0.0059,0.0409
2026-07-22T17:30:20.593,0.3126,0.0137,0.0801
2026-07-22T17:30:20.602,0.3358,0.0137,0.0213
2026-07-22T17:30:20.606,0.3521,0.0724,0.1388
2026-07-22T17:30:20.619,0.3625,0.0529,0.0801
2026-07-22T17:30:20.634,0.3781,-0.0059,0.0409
2026-07-22T17:30:20.635,0.3781,0.092,0.0605
2026-07-22T17:30:20.650,0.4012,-0.0059,-0.0374
2026-07-22T17:30:20.650,0.4219,0.0137,0.0018
2026-07-22T17:30:20.666,0.4449,0.0333,0.0018
2026-07-22T17:30:20.682,0.467,-0.0255,0.0018
2026-07-22T17:30:20.682,0.4791,0.0529,0.0605
2026-07-22T17:30:20.703,0.5003,0.0724,0.0409
2026-07-22T17:30:20.713,0.5152,0.0333,0.0409
2026-07-22T17:30:20.723,0.5305,0.0529,0.0605
2026-07-22T17:30:20.730,0.5429,-0.0255,0.0605
2026-07-22T17:30:20.741,0.5637,0.1116,0.0605
2026-07-22T17:30:20.752,0.5817,0.0333,0.0213
2026-07-22T17:30:20.761,0.5941,-0.0255,0.0409
2026-07-22T17:30:20.769,0.6106,0.0137,0.0409
2026-07-22T17:30:20.774,0.623,-0.045,0.0213
2026-07-22T17:30:20.785,0.6369,0.092,0.1192
2026-07-22T17:30:20.814,0.672,0.0333,0.0605
2026-07-22T17:30:20.822,0.672,-0.045,0.0605
2026-07-22T17:30:20.827,0.6846,0.0529,0.0213
2026-07-22T17:30:20.830,0.6881,-0.045,-0.057
2026-07-22T17:30:20.840,0.6881,0.0333,0.0409
2026-07-22T17:30:20.857,0.6996,-0.0059,0.1192
2026-07-22T17:30:20.864,0.6996,-0.0255,0.1388
2026-07-22T17:30:20.873,0.6996,0.0529,0.0409
2026-07-22T17:30:20.883,0.7154,0.0137,0.0018
2026-07-22T17:30:20.895,0.7215,-0.0059,0.0409
2026-07-22T17:30:20.905,0.7215,0.1116,0.0213
2026-07-22T17:30:20.913,0.7312,0.0137,0.0409
2026-07-22T17:30:20.923,0.7332,0.0333,0.0605
2026-07-22T17:30:20.938,0.7332,0.0333,0.0605
2026-07-22T17:30:20.938,0.7332,0.0137,0.0605
2026-07-22T17:30:20.957,0.7332,0.092,0.0605
2026-07-22T17:30:20.971,0.7332,0.0137,-0.0178
2026-07-22T17:30:20.989,0.7332,0.1312,0.0605
2026-07-22T17:30:20.996,0.7332,0.0137,0.0018
2026-07-22T17:30:21.004,0.7332,0.0137,0.0605
2026-07-22T17:30:21.005,0.7477,0.0137,0.0605
2026-07-22T17:30:21.018,0.7497,0.0137,0.0409
2026-07-22T17:30:21.027,0.7497,0.1312,0.0605
2026-07-22T17:30:21.039,0.7497,0.092,0.0213
2026-07-22T17:30:21.039,0.7497,-0.0255,0.0605
2026-07-22T17:30:21.055,0.7628,0.0724,0.0213
2026-07-22T17:30:21.060,0.7677,-0.0059,0.0409
2026-07-22T17:30:21.075,0.7677,0.0333,0.0605
2026-07-22T17:30:21.091,0.7721,0.0333,-0.057
2026-07-22T17:30:21.091,0.7786,0.0137,0.0213
2026-07-22T17:30:21.103,0.7807,0.0333,0.0801
2026-07-22T17:30:21.124,0.7807,0.0333,0.0409
2026-07-22T17:30:21.134,0.7807,-0.0255,0.0409
2026-07-22T17:30:21.138,0.79,0.1116,0.0213
2026-07-22T17:30:21.142,0.7944,0.0137,0.0213
2026-07-22T17:30:21.154,0.7944,0.0529,0.0997
2026-07-22T17:30:21.171,0.7944,0.1704,0.0605
2026-07-22T17:30:21.171,0.7944,0.0333,0.0018
2026-07-22T17:30:21.183,0.8199,0.0137,0.0801
2026-07-22T17:30:21.183,0.8284,0.0333,0.0018
