wall_time,elapsed_s,F1_N,F2_N
2026-07-22T17:35:50.605,8.3682,-1.2982,16.9391
2026-07-22T17:35:50.605,8.3815,-1.3178,16.9391
2026-07-22T17:35:50.621,8.3843,-1.3374,16.9
2026-07-22T17:35:50.624,8.4009,-1.2786,16.8608
2026-07-22T17:35:50.636,8.4103,-1.3178,16.9
2026-07-22T17:35:50.652,8.418,-1.3178,16.8804
2026-07-22T17:35:50.656,8.4399,-1.2982,16.9
2026-07-22T17:35:50.669,8.4459,-1.3178,16.9783
2026-07-22T17:35:50.678,8.4477,-1.3374,16.8412
2026-07-22T17:35:50.686,8.4561,-1.3374,16.8216
2026-07-22T17:35:50.700,8.4634,-1.259,16.7825
2026-07-22T17:35:50.708,8.4814,-1.259,16.7825
2026-07-22T17:35:50.716,8.4814,-1.2982,16.7629
2026-07-22T17:35:50.732,8.4972,-1.3765,16.7629
2026-07-22T17:35:50.732,8.5112,-1.3765,16.7237
2026-07-22T17:35:50.750,8.5139,-1.2199,16.5867
2026-07-22T17:35:50.765,8.527,-1.2982,16.5867
2026-07-22T17:35:50.765,8.5427,-1.3961,16.5279
2026-07-22T17:35:50.782,8.5427,-1.3374,16.5083
2026-07-22T17:35:50.782,8.5427,-1.3961,16.4496
2026-07-22T17:35:50.795,8.5604,-1.2982,16.5475
2026-07-22T17:35:50.811,8.5745,-1.259,16.5867
2026-07-22T17:35:50.811,8.5834,-1.3765,16.5279
2026-07-22T17:35:50.829,8.6061,-1.3374,16.5867
2026-07-22T17:35:50.829,8.6126,-1.3374,16.4888
2026-07-22T17:35:50.852,8.6126,-1.3374,16.4692
2026-07-22T17:35:50.858,8.6377,-1.3374,16.4888
2026-07-22T17:35:50.874,8.6377,-1.4353,16.5279
2026-07-22T17:35:50.881,8.6377,-1.3569,16.5279
2026-07-22T17:35:50.895,8.6691,-1.3569,16.5279
2026-07-22T17:35:50.895,8.6725,-1.4549,16.4692
2026-07-22T17:35:50.906,8.6725,-1.3765,16.4692
2026-07-22T17:35:50.922,8.685,-1.2982,16.4692
2026-07-22T17:35:50.925,8.7006,-1.3961,16.4888
2026-07-22T17:35:50.941,8.7006,-1.3765,16.4888
2026-07-22T17:35:50.952,8.7152,-1.4157,16.5279
2026-07-22T17:35:50.957,8.7324,-1.3569,16.5279
2026-07-22T17:35:50.969,8.7324,-1.4353,16.5671
2026-07-22T17:35:50.985,8.7416,-1.3178,16.5279
2026-07-22T17:35:50.985,8.7637,-1.3374,16.5475
2026-07-22T17:35:51.001,8.7637,-1.4353,16.6258
