force_bin_lo,force_bin_hi,mean,std,n,force_bin_center,valid
0.0,5.0,93.65849939049615,59.67547032979601,1050,2.5,True
5.0,10.0,312.7786794267043,21.820526994305755,16,7.5,True
10.0,15.0,1224.1130138801218,240.59372851876802,3875,12.5,True
15.0,20.0,1209.2680106308276,240.5377524493523,2133,17.5,True
20.0,25.0,314.10678236436286,33.044275926214624,13,22.5,True
25.0,30.0,74.78167188657474,24.20866329410634,5247,27.5,True
30.0,35.0,75.22001883716072,38.32380231852892,936,32.5,True
35.0,40.0,283.2948272056431,15.938087743853275,9,37.5,True
40.0,45.0,1317.251125213882,159.13770817139493,6063,42.5,True
45.0,50.0,1364.7012648754187,194.09008791005712,414,47.5,True
50.0,55.0,344.83150605617453,63.207193356563366,10,52.5,True
55.0,60.0,316.85728741876403,51.48905378565282,14,57.5,True
60.0,65.0,312.60705793465047,54.07446741296164,8,62.5,True
65.0,70.0,1716.6812620223652,514.6446531102712,180,67.5,True
70.0,75.0,2225.644609232819,407.3288635862724,2258,72.5,True
75.0,80.0,294.2209700300286,70.95546959132456,44,77.5,True
80.0,85.0,208.68762091675956,43.23850096182397,395,82.5,True
85.0,90.0,227.2795655031674,38.18036015009938,1040,87.5,True
90.0,95.0,218.60280575768874,40.73574117947684,368,92.5,True
95.0,100.0,254.98895194285694,46.59139261073954,1005,97.5,True
100.0,105.0,284.89466859976346,46.31318280999749,1162,102.5,True
105.0,110.0,301.06571583112014,40.79296777789627,1193,107.5,True
110.0,115.0,304.5864051035656,46.21870289267376,587,112.5,True
115.0,120.0,371.1337823628212,45.771957598765574,52,117.5,True
