force_bin_lo,force_bin_hi,mean,std,n,force_bin_center,valid
0.0,5.0,1473.758419047619,4207.154921345775,1050,2.5,True
5.0,10.0,30050.957499999997,4260.205435562157,16,7.5,True
10.0,15.0,38486.647837419354,4334.505739440621,3875,12.5,True
15.0,20.0,39785.424233473976,3292.942871685552,2133,17.5,True
20.0,25.0,42169.60307692307,2949.1241832064475,13,22.5,True
25.0,30.0,50408.23095101963,4351.240066392851,5247,27.5,True
30.0,35.0,50345.899594017086,4225.754052807974,936,32.5,True
35.0,40.0,49223.84333333334,2215.6141066248433,9,37.5,True
40.0,45.0,56333.933968332516,1002.1591453184772,6063,42.5,True
45.0,50.0,55308.57384057971,1233.427348560024,414,47.5,True
50.0,55.0,52301.871999999996,1709.844490166025,10,52.5,True
55.0,60.0,57964.0143045702,1362.7283068178097,6061,57.5,True
60.0,65.0,56792.71340659341,727.9605242623402,273,62.5,True
65.0,70.0,58804.055555555555,1506.6912764801828,180,67.5,True
70.0,75.0,58080.02089902569,1421.0344002526012,2258,72.5,True
75.0,80.0,58834.99954545454,3128.5328319457626,44,77.5,True
80.0,85.0,61082.220607594936,1763.2950986666683,395,82.5,True
85.0,90.0,59449.63188461539,1407.4930029127863,1040,87.5,True
90.0,95.0,59278.48086956522,2172.8516985582037,368,92.5,True
95.0,100.0,58796.197014925376,2218.996312232672,1005,97.5,True
100.0,105.0,61079.14713425129,2008.4202311674603,1162,102.5,True
105.0,110.0,62193.34471919531,1059.7261010479117,1193,107.5,True
110.0,115.0,62807.08194207835,699.1224897969739,587,112.5,True
115.0,120.0,62495.21153846153,195.23690601957694,52,117.5,True
