trial_id,task_kind,target_force_n,tolerance_n,rep_no,force_mean_n,force_std_n,force_peak_n,eskin_roi_mean,eskin_roi_peak,emg_env_mean,emg_env_peak
PT_max_squeeze_001_20260722_153104,max_effort,,,1,82.28216111441799,31.966632378401304,103.32256,49085.55418300654,58139.840000000004,239.47999551384038,384.0628121428092
PT_max_squeeze_001_20260722_153104,max_effort,,,2,76.49927992031871,34.74121668346034,110.44215999999999,49462.083262942775,60185.600000000006,220.07640281256593,387.40127032713457
PT_max_squeeze_001_20260722_153104,max_effort,,,3,89.98432877470356,37.17540108992586,112.44722000000002,54190.49194931773,62970.24999999999,280.1233993804344,424.8791043769155
PT_max_squeeze_001_20260722_153104,max_effort,,,4,77.19051133200796,39.61382178793027,113.83352,49367.353030503975,63955.45,224.11882130668144,474.67800454738585
PT_max_squeeze_001_20260722_153104,max_effort,,,5,83.37745873586162,40.7806551326878,116.62965999999999,49738.91628184714,62963.24999999999,268.84250886994823,445.1430360279188
PT_target_15_001_20260722_153324,target_force,15.0,1.5,1,14.960922987606002,0.29113342855683044,15.47938,41998.835200945614,42419.229999999996,1526.2895668383806,1553.7220750933989
PT_target_15_001_20260722_153324,target_force,15.0,1.5,2,14.898030470588235,0.12323380119208016,15.26396,32442.209046052634,32668.45,1461.6673227242477,1481.9906760056467
PT_target_15_001_20260722_153324,target_force,15.0,1.5,3,14.927432999999999,0.1882213469885921,15.455860000000001,44123.148130921625,44612.18,,
PT_target_15_001_20260722_153324,target_force,15.0,1.5,4,14.936446390532545,0.15502508646321844,15.389320000000001,37320.42486319507,37676.89,,
PT_target_15_001_20260722_153324,target_force,15.0,1.5,5,14.972946380670612,0.2351213762606899,15.475459999999998,38859.54897565071,39116.12999999999,,
PT_target_30_002_20260722_153507,target_force,30.0,1.5,1,29.694227746062992,0.19370436002426472,30.20018,44004.522540494465,44430.78,116.52335526059571,177.11434200347819
PT_target_30_002_20260722_153507,target_force,30.0,1.5,2,29.64145948310139,0.2573247136313542,30.16494,50293.262186234824,50776.28,,
PT_target_30_002_20260722_153507,target_force,30.0,1.5,3,29.82975514677104,0.37378680495077815,30.670120000000004,47236.45036144577,47810.45999999999,,
PT_target_30_002_20260722_153507,target_force,30.0,1.5,4,29.441644125736737,0.2777504454258448,30.239359999999998,54678.3464045864,55067.76,,
PT_target_30_002_20260722_153507,target_force,30.0,1.5,5,29.763296978346457,0.3873360828174109,30.93648,55440.40296875,55833.01,,
PT_target_45_004_20260722_154404,target_force,45.0,3.0,1,44.43703716437459,0.7588966432983691,46.138940000000005,54823.832553663975,55379.78,1398.497192983861,1439.1264853211396
PT_target_45_004_20260722_154404,target_force,45.0,3.0,2,43.92439698039215,0.6422807127004208,45.35178,57052.75182827533,57594.72,1386.0467216980703,1411.4742148306104
PT_target_45_004_20260722_154404,target_force,45.0,3.0,3,43.86298860510806,0.49505304543762974,45.30478,56449.91599713054,56844.350000000006,1401.423750198056,1438.6834283588628
PT_target_45_004_20260722_154404,target_force,45.0,3.0,4,43.82471373015873,0.5549863878514243,45.43014,57494.915040650405,57888.25,1382.394942780001,1403.212254719525
PT_target_45_004_20260722_154404,target_force,45.0,3.0,5,43.908532468893256,0.5335313740495216,44.893600000000006,55635.94745325023,56085.130000000005,,
PT_target_60_005_20260722_154642,target_force,60.0,5.0,1,59.4154001754386,0.7828051688968501,61.411919999999995,56783.329421193244,57286.78,,
PT_target_60_005_20260722_154642,target_force,60.0,5.0,2,58.48894462745098,0.6983638489400993,60.98116,56156.96957516339,56780.73999999999,,
PT_target_60_005_20260722_154642,target_force,60.0,5.0,3,58.37377729941292,0.79258069977024,60.334979999999995,57682.068888888876,58147.42999999999,,
PT_target_60_005_20260722_154642,target_force,60.0,5.0,4,57.14971867961165,0.808016452046173,59.33636,59693.06160919539,60183.48,,
PT_target_60_005_20260722_154642,target_force,60.0,5.0,5,57.18715836010709,0.8570189712050517,60.127419999999994,59077.29811145511,59569.479999999996,,
PT_target_75_008_20260722_155202,target_force,75.0,6.0,1,71.71981823800131,0.9103756260785599,74.19034,56637.79065891475,57775.78,2637.1935998602153,2679.7362660091176
PT_target_75_008_20260722_155202,target_force,75.0,6.0,2,71.00892480430528,0.8033384373903124,73.45408,59366.73218795889,60047.520000000004,,
