wall_time,elapsed_s,F1_N,F2_N
2026-07-21T15:56:51.890,0.0336,6.0373,6.3684
2026-07-21T15:56:51.890,0.0336,6.2136,6.5251
2026-07-21T15:56:51.890,0.0336,6.3115,6.858
2026-07-21T15:56:51.918,0.0336,6.9772,7.0146
2026-07-21T15:56:51.918,0.0336,6.8793,7.0538
2026-07-21T15:56:51.920,0.0721,6.5269,6.8971
2026-07-21T15:56:51.937,0.0721,6.7618,6.858
2026-07-21T15:56:51.937,0.0721,6.7814,6.7992
2026-07-21T15:56:51.952,0.0811,6.5464,6.7601
2026-07-21T15:56:51.967,0.1125,6.6639,6.9559
2026-07-21T15:56:51.990,0.1125,6.5464,6.8775
2026-07-21T15:56:51.990,0.1125,6.6639,6.8971
2026-07-21T15:56:51.999,0.1125,6.801,6.7992
2026-07-21T15:56:51.999,0.1282,6.7422,6.8971
2026-07-21T15:56:52.030,0.1596,6.8793,6.8384
2026-07-21T15:56:52.030,0.1596,6.7422,6.8775
2026-07-21T15:56:52.030,0.1617,6.6835,6.7405
2026-07-21T15:56:52.046,0.1722,6.6248,6.8775
2026-07-21T15:56:52.062,0.2009,6.5856,6.8775
2026-07-21T15:56:52.062,0.2009,6.6248,6.9363
2026-07-21T15:56:52.078,0.2009,6.566,6.8971
2026-07-21T15:56:52.090,0.207,6.8206,6.9754
2026-07-21T15:56:52.109,0.2387,6.8989,6.6817
2026-07-21T15:56:52.109,0.2387,6.6835,7.0342
2026-07-21T15:56:52.109,0.2387,6.6639,7.0146
2026-07-21T15:56:52.125,0.2387,6.9185,6.9363
2026-07-21T15:56:52.141,0.2725,6.6052,6.8384
2026-07-21T15:56:52.141,0.2725,6.9381,6.8188
2026-07-21T15:56:52.157,0.2725,6.801,6.7796
2026-07-21T15:56:52.157,0.2866,6.5073,7.0146
2026-07-21T15:56:52.189,0.3126,6.6248,6.8775
2026-07-21T15:56:52.191,0.3126,6.7422,6.9363
2026-07-21T15:56:52.191,0.3186,6.6248,6.9559
2026-07-21T15:56:52.205,0.3186,6.801,6.8971
2026-07-21T15:56:52.221,0.3503,6.7422,6.7013
2026-07-21T15:56:52.231,0.3503,6.5464,6.8971
2026-07-21T15:56:52.237,0.3503,6.566,6.7405
2026-07-21T15:56:52.252,0.3817,6.8597,6.7405
2026-07-21T15:56:52.268,0.3817,6.4681,6.8775
2026-07-21T15:56:52.268,0.3817,6.7031,6.858
2026-07-21T15:56:52.268,0.3974,6.7031,6.8971
2026-07-21T15:56:52.300,0.4291,6.6639,6.9167
2026-07-21T15:56:52.300,0.4291,6.566,6.7992
