wall_time,elapsed_s,F1_N,F2_N
2026-07-22T15:44:13.058,0.0,23.4039,20.6986
2026-07-22T15:44:13.059,0.0157,23.2864,20.5811
2026-07-22T15:44:13.074,0.0157,23.2864,20.4441
2026-07-22T15:44:13.074,0.0316,23.3452,20.4637
2026-07-22T15:44:13.091,0.058,23.2473,20.4832
2026-07-22T15:44:13.105,0.0618,23.3843,20.6007
2026-07-22T15:44:13.105,0.0649,23.3452,20.6007
2026-07-22T15:44:13.121,0.068,23.3647,20.6203
2026-07-22T15:44:13.121,0.0714,23.3452,20.5616
2026-07-22T15:44:13.149,0.0904,23.3647,20.6007
2026-07-22T15:44:13.157,0.0904,23.2864,20.6203
2026-07-22T15:44:13.166,0.1064,23.1298,20.6203
2026-07-22T15:44:13.177,0.1064,22.9927,20.5811
2026-07-22T15:44:13.177,0.1343,23.0514,20.5811
2026-07-22T15:44:13.196,0.1343,22.9535,20.6007
2026-07-22T15:44:13.196,0.1343,22.9927,20.5616
2026-07-22T15:44:13.219,0.1526,23.0123,20.6007
2026-07-22T15:44:13.226,0.1704,23.0514,20.6986
2026-07-22T15:44:13.226,0.1704,23.0123,20.7574
2026-07-22T15:44:13.240,0.1833,23.0514,20.8161
2026-07-22T15:44:13.257,0.1901,23.0319,20.7574
2026-07-22T15:44:13.260,0.2137,23.0319,20.8749
2026-07-22T15:44:13.276,0.2192,23.0906,20.8944
2026-07-22T15:44:13.289,0.2219,23.1102,20.7769
2026-07-22T15:44:13.296,0.2219,23.1298,20.8749
2026-07-22T15:44:13.307,0.2501,23.2081,20.8553
2026-07-22T15:44:13.307,0.2501,23.071,20.8161
2026-07-22T15:44:13.327,0.2501,23.071,20.8357
2026-07-22T15:44:13.327,0.2667,23.071,20.7965
2026-07-22T15:44:13.340,0.2906,23.2081,20.8749
2026-07-22T15:44:13.355,0.2983,23.3452,20.9532
2026-07-22T15:44:13.355,0.2983,23.4235,21.0511
2026-07-22T15:44:13.372,0.3149,23.4626,21.0511
2026-07-22T15:44:13.372,0.3319,23.3256,21.0119
2026-07-22T15:44:13.396,0.3319,23.2277,21.0511
2026-07-22T15:44:13.403,0.3418,23.2864,21.0315
2026-07-22T15:44:13.403,0.3445,23.2277,21.0315
2026-07-22T15:44:13.420,0.3637,23.4039,21.2077
2026-07-22T15:44:13.437,0.3637,23.3647,21.1098
2026-07-22T15:44:13.447,0.3776,23.4626,21.149
2026-07-22T15:44:13.460,0.3959,23.4822,21.2469
2026-07-22T15:44:13.468,0.4092,23.5605,21.2469
2026-07-22T15:44:13.469,0.4122,23.5997,21.2469
2026-07-22T15:44:13.483,0.4122,23.5997,21.4427
2026-07-22T15:44:13.496,0.4412,23.6976,21.521
2026-07-22T15:44:13.501,0.4433,23.6976,21.5406
2026-07-22T15:44:13.517,0.4464,23.5214,21.521
2026-07-22T15:44:13.517,0.4464,23.3843,21.4231
2026-07-22T15:44:13.531,0.4725,23.2668,21.3056
2026-07-22T15:44:13.547,0.4725,23.2668,21.2469
2026-07-22T15:44:13.552,0.4846,23.2473,21.2665
2026-07-22T15:44:13.568,0.5042,23.2864,21.2665
2026-07-22T15:44:13.578,0.5042,23.306,21.2077
2026-07-22T15:44:13.578,0.5163,23.2668,21.1686
2026-07-22T15:44:13.594,0.5207,23.4039,21.2469
2026-07-22T15:44:13.609,0.5487,23.5214,21.3644
2026-07-22T15:44:13.609,0.5496,23.5214,21.4035
2026-07-22T15:44:13.626,0.5528,23.4431,21.4231
2026-07-22T15:44:13.626,0.5751,23.3452,21.4035
2026-07-22T15:44:13.647,0.5751,23.4431,21.5014
2026-07-22T15:44:13.658,0.5852,23.3452,21.5406
2026-07-22T15:44:13.666,0.6001,23.4822,21.5014
2026-07-22T15:44:13.680,0.6162,23.4235,21.4427
2026-07-22T15:44:13.680,0.6162,23.3647,21.3056
2026-07-22T15:44:13.696,0.6162,23.2081,21.1881
2026-07-22T15:44:13.705,0.6456,23.1102,21.149
2026-07-22T15:44:13.705,0.6516,22.9535,21.0511
2026-07-22T15:44:13.721,0.6516,22.8556,21.0902
2026-07-22T15:44:13.737,0.6815,22.7773,21.149
2026-07-22T15:44:13.748,0.6829,22.8165,21.0707
2026-07-22T15:44:13.757,0.6906,22.8165,21.149
2026-07-22T15:44:13.757,0.6935,22.7969,21.0902
2026-07-22T15:44:13.775,0.7135,22.7969,21.1098
2026-07-22T15:44:13.788,0.7135,22.7969,21.1686
2026-07-22T15:44:13.796,0.7135,22.8361,21.1686
2026-07-22T15:44:13.817,0.7424,22.9535,21.0511
2026-07-22T15:44:13.817,0.7424,22.9535,21.0902
2026-07-22T15:44:13.819,0.7593,23.0319,21.286
2026-07-22T15:44:13.832,0.7593,23.0906,21.3644
2026-07-22T15:44:13.848,0.786,23.2081,21.4231
2026-07-22T15:44:13.848,0.7911,23.0514,21.3644
2026-07-22T15:44:13.864,0.7911,22.8948,21.3448
2026-07-22T15:44:13.864,0.8141,22.7773,21.3448
2026-07-22T15:44:13.879,0.8141,22.7382,21.3252
2026-07-22T15:44:13.896,0.8233,22.7969,21.286
2026-07-22T15:44:13.909,0.8375,22.8361,21.3644
2026-07-22T15:44:13.919,0.8535,22.8361,21.2665
2026-07-22T15:44:13.929,0.8535,22.7773,21.2469
2026-07-22T15:44:13.929,0.8694,22.699,21.2273
2026-07-22T15:44:13.943,0.8913,22.7382,21.2273
2026-07-22T15:44:13.943,0.8913,22.7773,21.3252
2026-07-22T15:44:13.959,0.8913,22.7773,21.286
2026-07-22T15:44:13.975,0.9236,22.8165,21.3448
2026-07-22T15:44:13.975,0.9243,22.8752,21.5014
2026-07-22T15:44:13.991,0.9243,22.9927,21.4231
2026-07-22T15:44:14.007,0.9514,23.0906,21.4819
2026-07-22T15:44:14.023,0.9514,23.0123,21.521
