wall_time,elapsed_s,F1_N,F2_N
2026-07-23T16:02:35.298,216.2787,-1.4848,-0.6054
2026-07-23T16:02:35.304,216.2869,-1.6219,-0.5663
2026-07-23T16:02:35.318,216.3136,-1.5436,-0.5859
2026-07-23T16:02:35.329,216.3136,-1.6415,-0.5663
2026-07-23T16:02:35.329,216.3136,-1.524,-0.4684
2026-07-23T16:02:35.345,216.3414,-1.5827,-0.5663
2026-07-23T16:02:35.355,216.3414,-1.4652,-0.6054
2026-07-23T16:02:35.364,216.3414,-1.6023,-0.5467
2026-07-23T16:02:35.392,216.3727,-1.5044,-0.5663
2026-07-23T16:02:35.392,216.3727,-1.6415,-0.5271
2026-07-23T16:02:35.392,216.3727,-1.5631,-0.625
2026-07-23T16:02:35.404,216.3727,-1.5631,-0.5859
2026-07-23T16:02:35.408,216.4195,-1.661,-0.6054
2026-07-23T16:02:35.424,216.4195,-1.524,-0.5663
2026-07-23T16:02:35.424,216.4195,-1.5631,-0.5663
2026-07-23T16:02:35.448,216.4511,-1.6219,-0.5467
2026-07-23T16:02:35.456,216.4537,-1.6023,-0.5859
2026-07-23T16:02:35.456,216.4561,-1.6023,-0.6054
2026-07-23T16:02:35.470,216.4593,-1.5827,-0.5859
2026-07-23T16:02:35.486,216.4824,-1.5827,-0.5859
2026-07-23T16:02:35.492,216.4824,-1.5827,-0.5467
2026-07-23T16:02:35.507,216.4902,-1.5631,-0.5663
2026-07-23T16:02:35.510,216.517,-1.6023,-0.5271
2026-07-23T16:02:35.523,216.5223,-1.5436,-0.5663
2026-07-23T16:02:35.533,216.5251,-1.5631,-0.6054
2026-07-23T16:02:35.541,216.5315,-1.5436,-0.6054
2026-07-23T16:02:35.566,216.5541,-1.5827,-0.5075
2026-07-23T16:02:35.566,216.5614,-1.5436,-0.6054
2026-07-23T16:02:35.576,216.5639,-1.5631,-0.5467
2026-07-23T16:02:35.584,216.5639,-1.5631,-0.625
2026-07-23T16:02:35.605,216.5934,-1.5436,-0.6054
2026-07-23T16:02:35.605,216.5934,-1.6023,-0.5859
2026-07-23T16:02:35.615,216.5934,-1.5631,-0.5859
2026-07-23T16:02:35.628,216.626,-1.6023,-0.5663
2026-07-23T16:02:35.628,216.626,-1.5436,-0.5467
2026-07-23T16:02:35.644,216.6327,-1.661,-0.6054
2026-07-23T16:02:35.676,216.6568,-1.524,-0.5271
2026-07-23T16:02:35.676,216.6568,-1.661,-0.625
2026-07-23T16:02:35.676,216.6568,-1.4456,-0.625
2026-07-23T16:02:35.683,216.6889,-1.5827,-0.5663
2026-07-23T16:02:35.693,216.6889,-1.5044,-0.5663
2026-07-23T16:02:35.708,216.6889,-1.6806,-0.6054
2026-07-23T16:02:35.708,216.7071,-1.4848,-0.5663
