wall_time,elapsed_s,F1_N,F2_N
2026-07-20T16:55:16.357,0.0358,-7.4924,-4.4883
2026-07-20T16:55:16.360,0.0379,-7.3749,-4.645
2026-07-20T16:55:16.372,0.0379,-7.2574,-4.4296
2026-07-20T16:55:16.372,0.0379,-7.4924,-4.6058
2026-07-20T16:55:16.396,0.063,-7.3945,-4.6645
2026-07-20T16:55:16.404,0.0739,-7.1595,-4.3512
2026-07-20T16:55:16.410,0.0739,-7.5511,-4.5471
2026-07-20T16:55:16.431,0.1063,-7.2378,-4.645
2026-07-20T16:55:16.435,0.1063,-7.3357,-4.3121
2026-07-20T16:55:16.435,0.1063,-7.3749,-4.6645
2026-07-20T16:55:16.460,0.1391,-7.2378,-4.6254
2026-07-20T16:55:16.460,0.1391,-7.3162,-4.4883
2026-07-20T16:55:16.468,0.1414,-7.6295,-4.6058
2026-07-20T16:55:16.483,0.1437,-7.1987,-4.6058
2026-07-20T16:55:16.498,0.1724,-7.3945,-4.5275
2026-07-20T16:55:16.498,0.1724,-7.5316,-4.7233
2026-07-20T16:55:16.514,0.1734,-7.2574,-4.4687
2026-07-20T16:55:16.525,0.1892,-7.5707,-4.4687
2026-07-20T16:55:16.530,0.205,-7.2378,-4.6841
2026-07-20T16:55:16.546,0.205,-7.1791,-4.4883
2026-07-20T16:55:16.562,0.2208,-7.3749,-4.4687
2026-07-20T16:55:16.562,0.2365,-7.4532,-4.6841
2026-07-20T16:55:16.562,0.2365,-7.1595,-4.4883
2026-07-20T16:55:16.577,0.2365,-7.4336,-4.6254
2026-07-20T16:55:16.593,0.2624,-7.4728,-4.645
2026-07-20T16:55:16.593,0.2624,-7.2574,-4.3708
2026-07-20T16:55:16.622,0.2838,-7.512,-4.4687
2026-07-20T16:55:16.625,0.2838,-7.3749,-4.782
2026-07-20T16:55:16.635,0.2838,-7.2183,-4.3904
2026-07-20T16:55:16.643,0.32,-7.5903,-4.3904
2026-07-20T16:55:16.652,0.32,-7.3749,-4.7429
2026-07-20T16:55:16.656,0.32,-7.1008,-4.3317
2026-07-20T16:55:16.672,0.3484,-7.4924,-4.4491
2026-07-20T16:55:16.687,0.3515,-7.3749,-4.6841
2026-07-20T16:55:16.692,0.3515,-7.3749,-4.41
2026-07-20T16:55:16.707,0.3796,-7.4728,-4.5666
2026-07-20T16:55:16.719,0.3816,-7.3357,-4.7429
2026-07-20T16:55:16.724,0.3816,-7.1791,-4.3708
2026-07-20T16:55:16.734,0.4088,-7.4141,-4.5275
2026-07-20T16:55:16.740,0.4088,-7.2574,-4.7233
