wall_time,elapsed_s,F1_N,F2_N
2026-07-22T17:32:18.040,0.0038,3.5382,6.111
2026-07-22T17:32:18.040,0.0058,3.4991,6.1305
2026-07-22T17:32:18.051,0.0638,3.4991,6.1305
2026-07-22T17:32:18.067,0.0638,3.5187,6.111
2026-07-22T17:32:18.083,0.0638,3.5774,6.1305
2026-07-22T17:32:18.083,0.0638,3.5774,6.1501
2026-07-22T17:32:18.099,0.0795,3.4795,6.1305
2026-07-22T17:32:18.130,0.0795,3.5187,6.1697
2026-07-22T17:32:18.130,0.0795,3.5774,6.0914
2026-07-22T17:32:18.131,0.0795,3.4795,6.111
2026-07-22T17:32:18.131,0.0954,3.5578,6.0914
2026-07-22T17:32:18.146,0.1023,3.4991,6.0914
2026-07-22T17:32:18.154,0.1023,3.4795,6.111
2026-07-22T17:32:18.158,0.1666,3.5187,6.1305
2026-07-22T17:32:18.177,0.1666,3.4795,6.0914
2026-07-22T17:32:18.177,0.1751,3.5187,6.111
2026-07-22T17:32:18.185,0.1751,3.5187,6.0914
2026-07-22T17:32:18.208,0.1887,3.4991,6.0718
2026-07-22T17:32:18.224,0.1928,3.5187,6.111
2026-07-22T17:32:18.231,0.1948,3.4403,6.2089
2026-07-22T17:32:18.231,0.1948,3.4599,6.0522
2026-07-22T17:32:18.241,0.205,3.4991,6.0718
2026-07-22T17:32:18.270,0.2543,3.4403,6.0718
2026-07-22T17:32:18.270,0.2543,3.4795,6.1305
2026-07-22T17:32:18.288,0.2543,3.4012,6.0131
2026-07-22T17:32:18.288,0.2703,3.3816,6.0522
2026-07-22T17:32:18.288,0.2703,3.4012,6.0131
2026-07-22T17:32:18.304,0.2703,3.362,6.0522
2026-07-22T17:32:18.323,0.286,3.4208,6.0131
2026-07-22T17:32:18.323,0.286,3.4403,5.9935
2026-07-22T17:32:18.335,0.286,3.3816,6.0718
2026-07-22T17:32:18.338,0.304,3.4795,6.0718
2026-07-22T17:32:18.367,0.3491,3.3816,6.0522
2026-07-22T17:32:18.367,0.3491,3.4795,6.0522
2026-07-22T17:32:18.367,0.3491,3.4991,6.0131
2026-07-22T17:32:18.383,0.3652,3.4012,6.0522
2026-07-22T17:32:18.383,0.3708,3.4991,6.0131
2026-07-22T17:32:18.399,0.3728,3.4012,5.9935
2026-07-22T17:32:18.415,0.3728,3.4403,6.0718
2026-07-22T17:32:18.415,0.3851,3.4795,6.0718
2026-07-22T17:32:18.431,0.39,3.4403,6.111
2026-07-22T17:32:18.471,0.4555,3.4795,6.0522
2026-07-22T17:32:18.471,0.4555,3.4012,6.0718
2026-07-22T17:32:18.471,0.4555,3.4403,6.0914
2026-07-22T17:32:18.471,0.4617,3.4795,6.0914
2026-07-22T17:32:18.478,0.4617,3.4599,6.0718
2026-07-22T17:32:18.510,0.4676,3.4012,6.0914
2026-07-22T17:32:18.519,0.4778,3.4012,6.0326
2026-07-22T17:32:18.519,0.4778,3.3816,6.0131
2026-07-22T17:32:18.519,0.4778,3.4599,6.0326
2026-07-22T17:32:18.541,0.5294,3.4208,6.0718
2026-07-22T17:32:18.542,0.5294,3.4795,6.0718
2026-07-22T17:32:18.560,0.5381,3.4599,6.0326
2026-07-22T17:32:18.568,0.5406,3.362,6.0914
2026-07-22T17:32:18.576,0.5406,3.4991,5.9935
2026-07-22T17:32:18.584,0.5566,3.4208,6.0131
2026-07-22T17:32:18.596,0.5652,3.4795,6.0718
2026-07-22T17:32:18.606,0.5736,3.4795,6.0718
2026-07-22T17:32:18.606,0.5814,3.4599,6.1893
2026-07-22T17:32:18.643,0.644,3.4991,6.1305
2026-07-22T17:32:18.643,0.644,3.362,6.0718
2026-07-22T17:32:18.643,0.648,3.4795,6.1305
2026-07-22T17:32:18.643,0.648,3.4012,6.0718
2026-07-22T17:32:18.658,0.6522,3.362,6.111
2026-07-22T17:32:18.669,0.6522,3.4991,6.0718
2026-07-22T17:32:18.692,0.6682,3.3816,6.111
2026-07-22T17:32:18.700,0.6682,3.4403,6.111
2026-07-22T17:32:18.700,0.6721,3.362,6.1697
2026-07-22T17:32:18.717,0.6769,3.4208,6.0718
2026-07-22T17:32:18.723,0.6769,3.3816,6.111
2026-07-22T17:32:18.723,0.7405,3.4795,6.1305
2026-07-22T17:32:18.758,0.7477,3.4012,6.2089
2026-07-22T17:32:18.758,0.7477,3.4795,6.111
2026-07-22T17:32:18.758,0.7477,3.3816,6.0914
2026-07-22T17:32:18.777,0.7596,3.4012,6.111
2026-07-22T17:32:18.797,0.7725,3.4403,6.1305
2026-07-22T17:32:18.797,0.7725,3.3424,6.0718
2026-07-22T17:32:18.801,0.7725,3.4795,6.111
2026-07-22T17:32:18.805,0.7904,3.3229,6.1501
2026-07-22T17:32:18.821,0.7977,3.4795,6.0914
2026-07-22T17:32:18.843,0.8459,3.4403,6.0522
2026-07-22T17:32:18.858,0.8648,3.362,6.0522
2026-07-22T17:32:18.858,0.8658,3.4012,6.1305
2026-07-22T17:32:18.858,0.8669,3.4599,6.111
2026-07-22T17:32:18.869,0.8713,3.4403,6.1305
2026-07-22T17:32:18.876,0.8846,3.4599,6.0914
2026-07-22T17:32:18.888,0.8846,3.3816,6.111
2026-07-22T17:32:18.901,0.8942,3.3816,6.0914
2026-07-22T17:32:18.901,0.903,3.3424,6.0326
2026-07-22T17:32:18.919,0.9114,3.3816,6.0718
2026-07-22T17:32:18.931,0.9157,3.4208,6.0522
2026-07-22T17:32:18.944,0.9654,3.3424,6.0131
2026-07-22T17:32:18.959,0.9654,3.4012,6.111
2026-07-22T17:32:18.959,0.9654,3.3424,6.111
2026-07-22T17:32:18.959,0.9811,3.3424,6.0718
2026-07-22T17:32:18.991,0.9811,3.3816,6.1305
2026-07-22T17:32:18.991,0.9811,3.3229,6.1501
2026-07-22T17:32:19.011,0.9984,3.4208,6.1305
2026-07-22T17:32:19.011,0.9984,3.4208,6.0522
2026-07-22T17:32:19.032,0.9984,3.4012,6.1305
2026-07-22T17:32:19.032,0.9984,3.4599,6.111
2026-07-22T17:32:19.044,1.0162,3.4208,6.0914
2026-07-22T17:32:19.047,1.0324,3.5187,6.0914
2026-07-22T17:32:19.072,1.0754,3.4991,6.1305
2026-07-22T17:32:19.082,1.0754,3.4599,6.1305
2026-07-22T17:32:19.082,1.0754,3.4991,6.1305
2026-07-22T17:32:19.094,1.0912,3.4795,6.0914
2026-07-22T17:32:19.106,1.0912,3.4991,6.1501
2026-07-22T17:32:19.110,1.0912,3.5382,6.1305
2026-07-22T17:32:19.127,1.0912,3.4012,6.0718
2026-07-22T17:32:19.127,1.0912,3.5187,6.1697
2026-07-22T17:32:19.145,1.111,3.4599,6.0914
2026-07-22T17:32:19.145,1.111,3.4599,6.1305
2026-07-22T17:32:19.163,1.1168,3.4208,6.111
2026-07-22T17:32:19.188,1.1546,3.3816,6.0914
2026-07-22T17:32:19.188,1.1546,3.5382,6.111
2026-07-22T17:32:19.204,1.1546,3.4795,6.0522
2026-07-22T17:32:19.204,1.1703,3.4403,6.111
2026-07-22T17:32:19.220,1.1703,3.5187,6.0326
2026-07-22T17:32:19.220,1.1703,3.4012,6.0522
2026-07-22T17:32:19.236,1.1703,3.4403,6.1305
2026-07-22T17:32:19.240,1.1862,3.3816,5.9739
2026-07-22T17:32:19.252,1.1862,3.3816,6.0522
2026-07-22T17:32:19.283,1.2487,3.3816,6.0522
2026-07-22T17:32:19.283,1.2646,3.3424,6.0522
2026-07-22T17:32:19.283,1.2646,3.4208,5.9935
2026-07-22T17:32:19.299,1.2726,3.4012,5.9739
2026-07-22T17:32:19.315,1.2757,3.2837,6.0326
2026-07-22T17:32:19.315,1.2804,3.3424,5.9739
2026-07-22T17:32:19.315,1.2804,3.3033,5.9543
2026-07-22T17:32:19.315,1.3335,3.3229,6.0522
2026-07-22T17:32:19.366,1.3335,3.362,5.9739
2026-07-22T17:32:19.366,1.3439,3.362,6.0131
2026-07-22T17:32:19.366,1.3439,3.3816,5.9935
2026-07-22T17:32:19.366,1.3439,3.5774,6.0131
2026-07-22T17:32:19.409,1.3598,3.3229,6.0718
2026-07-22T17:32:19.409,1.3598,3.362,5.9543
2026-07-22T17:32:19.409,1.3598,3.2837,5.9739
