trial,subject,target_n,n_before,n_after,kept_frac,coverage,lag_s,F_min,F_max
P1_002_20260721_155648,P1,5.0,2520,2311,0.917,0.526,0.04,0.77,103.42
narges_target_10_002_20260722_173151,narges_target_10,10.0,1523,1523,1.0,0.757,1.0,8.55,11.1
P1_003_20260721_155726,P1,12.0,2048,1605,0.784,0.519,0.02,10.17,49.24
narges_target_15_003_20260722_173534,narges_target_15,15.0,1519,1519,1.0,0.743,-1.0,14.62,16.95
PT_target_15_001_20260722_153324,PT_target_15,15.0,2539,2539,1.0,0.828,-0.2,14.18,15.55
P1_002_20260721_161939,P1,20.0,1516,1416,0.934,0.506,0.02,-2.64,53.62
AM_hold_001_20260721_165006,AM_hold,20.0,1523,1523,1.0,0.633,0.97,18.48,20.81
PT_target_30_002_20260722_153507,PT_target_30,30.0,2544,2544,1.0,0.728,-1.0,28.69,31.02
PT_target_45_003_20260722_153749,PT_target_45,45.0,1511,1511,1.0,0.597,0.77,43.59,45.55
PT_target_45_004_20260722_154404,PT_target_45,45.0,2549,2549,1.0,0.664,-0.56,42.14,46.24
archive_165516,archive,,4837,4816,0.996,0.728,0.04,-22.05,31.46
archive_173729,archive,,3823,2670,0.698,0.496,0.05,-9.85,42.7
YL_dynamic_01,archive,,4268,3615,0.847,0.749,0.0,-4.32,54.03
YL_dynamic_02,archive,,3957,3792,0.958,0.678,0.0,-4.46,83.42
YL_dynamic_03,archive,,3541,3269,0.923,0.765,0.0,-3.79,45.67
YL_dynamic_04,archive,,4496,3842,0.855,0.762,0.0,-4.19,51.76
YL_dynamic_05,archive,,4555,3288,0.722,0.669,0.0,-3.79,39.13
YL_dynamic_06,archive,,4438,3513,0.792,0.749,0.0,-4.91,61.82
YL_dynamic_07,archive,,891,729,0.818,0.755,0.0,-4.2,30.45
YL_dynamic_08,archive,,3213,3127,0.973,0.688,0.0,-5.2,72.75
